Price,Close,High,Low,Open,Volume
Ticker,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
Date,,,,,
2002-07-01,-0.010442906059324741,-0.010742448707563725,-0.010225589658235702,-0.010454655015329588,1080397
2002-07-02,-0.010525130666792393,-0.010660221725016877,-0.010395918654188095,-0.01062497577303845,1016147
2002-07-03,-0.010525130666792393,-0.010630853905054033,-0.010460524203687942,-0.010513382625202652,980394
2002-07-04,-0.010583868250250816,-0.010742449011854236,-0.010572119293913168,-0.010572119293913168,972747
2002-07-05,-0.010560371913015842,-0.01064260548360041,-0.010519263350167013,-0.01064260548360041,974496
2002-07-08,-0.011024371720850468,-0.011147713834007592,-0.010460525062547556,-0.010689591336251386,1061686
2002-07-09,-0.010736578144133091,-0.011041991623356168,-0.010666093542442787,-0.010983255064350706,1024719
2002-07-10,-0.010724831372499466,-0.010807057638391347,-0.010630857061529657,-0.010807057638391347,946638
2002-07-11,-0.01054862979799509,-0.0111065983425627,-0.010519261974633447,-0.0111065983425627,968220
2002-07-12,-0.010630856268107891,-0.010754199312159641,-0.01057212061512629,-0.010666094919082433,967763
2002-07-15,-0.010413541458547115,-0.010566251439312455,-0.01037242466783486,-0.010513386602566007,974157
2002-07-16,-0.010507513768970966,-0.010583869201563066,-0.010454656251166232,-0.010454656251166232,959138
2002-07-17,-0.01042528823018074,-0.010513384396071322,-0.010395920405271195,-0.010513384396071322,955902
2002-07-18,-0.01054862979799509,-0.010707210562519706,-0.010460525414305455,-0.010707210562519706,958081
2002-07-19,-0.010507513768970966,-0.010630855895090056,-0.01040179051091853,-0.010630855895090056,1022018
2002-07-22,-0.010260829702019691,-0.010554501566692668,-0.01019035240127087,-0.010337184222385803,959229
2002-07-23,-0.010260829702019691,-0.010448778306731115,-0.009984776705731523,-0.009984776705731523,950108
2002-07-24,-0.00999065488576889,-0.01029606748703573,-0.00999065488576889,-0.010160984622893655,1004507
2002-07-25,-0.01008462905883789,-0.01043702926377194,-0.00992604828141398,-0.01027844848634803,929688
2002-07-26,-0.009773338213562965,-0.009837944688641041,-0.009702853605379902,-0.009837944688641041,934529
2002-07-29,-0.009532530792057514,-0.00992604775956309,-0.009415059495231505,-0.00992604775956309,955236
2002-07-30,-0.009426808916032314,-0.009926049210029165,-0.009397441087534373,-0.009926049210029165,972108
2002-07-31,-0.009338704869151115,-0.009573641087777604,-0.009162504303989674,-0.009573641087777604,961513
2002-08-01,-0.009450295008718967,-0.009661741466099192,-0.009397437505594254,-0.009397437505594254,953331
2002-08-02,-0.009356322698295116,-0.009397439478361328,-0.009203620065907449,-0.009397439478361328,939461
2002-08-05,-0.009338704869151115,-0.009867312959869135,-0.00917425326189231,-0.009867312959869135,982116
2002-08-06,-0.009209489449858665,-0.009397438009046593,-0.00916837267622117,-0.009397438009046593,971195
2002-08-07,-0.009379819966852665,-0.009514902809479874,-0.009309335368161436,-0.009514902809479874,966576
2002-08-08,-0.00923885963857174,-0.009573640982788553,-0.009191872029919805,-0.009573640982788553,971443
2002-08-09,-0.009309336543083191,-0.009368072193397766,-0.009221240376449445,-0.009279968717925904,918884
2002-08-12,-0.009350452572107315,-0.009391568437619402,-0.009279967970199539,-0.009344581748363189,489590
2002-08-13,-0.009315213188529015,-0.009391567694534865,-0.009279967235945112,-0.009362199874067523,384772
2002-08-14,-0.009221239015460014,-0.009373941634087677,-0.009121385683848586,-0.009373941634087677,482452
2002-08-15,-0.009221239015460014,-0.009221239015460014,-0.009221239015460014,-0.009221239015460014,0
2002-08-16,-0.009074399247765541,-0.009279967603956735,-0.009021541736851272,-0.009197741357805843,520671
2002-08-19,-0.009068528190255165,-0.00927996736450296,-0.008992173683191555,-0.00927996736450296,501059
2002-08-20,-0.009062660858035088,-0.009156635170746066,-0.009045033765264788,-0.009156635170746066,507936
