Price,Close,High,Low,Open,Volume
Ticker,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS
Date,,,,,
2008-12-29,6.856929302215576,7.118977309078291,6.594881295352862,6.769579966594671,28012
2008-12-30,6.6603922843933105,7.11897633797606,6.507530655522774,6.987952560674949,107000
2008-12-31,6.8350911140441895,6.987952746990381,6.594880571577948,6.922440856593123,32658
2009-01-02,7.948795795440674,8.60391630056945,7.555722825940368,7.555722825940368,241044
2009-01-05,7.970633029937744,8.516566799111562,7.86144627610298,8.254518423302365,73986
2009-01-06,7.839611053466797,7.992471877410679,7.664911540909766,7.730424274633159,33086
2009-01-07,6.987953186035156,7.795935439776258,6.616718006421252,7.643073797225952,58126
2009-01-09,6.573043346405029,6.747742004067742,5.765061117557456,6.594880782741482,71160
2009-01-12,6.420180797576904,6.922440095989742,6.2891566146642335,6.551204980489575,25708
2009-01-13,6.376506805419922,6.57304288564213,6.201807743488962,6.354669370614249,16718
2009-01-14,6.573043346405029,6.769579440404195,6.2236456145651475,6.2236456145651475,15904
2009-01-15,6.398344039916992,6.551205672207612,6.1144586273937716,6.442018911004152,11726
2009-01-16,6.376506805419922,6.5512054508364574,6.267320047905981,6.46385612812819,19440
2009-01-19,6.332831859588623,6.507530502902541,6.2454825379316645,6.332831859588623,7536
2009-01-20,6.485693454742432,6.551205341552187,6.201807640033186,6.551205341552187,18918
2009-01-21,6.398344039916992,6.529368236664032,6.245482824140812,6.332832149800692,20000
2009-01-22,6.310994625091553,6.85692842339557,6.179970430195702,6.85692842339557,18506
2009-01-23,6.223645210266113,6.310994533423103,6.005271694116425,6.310994533423103,40752
2009-01-27,6.289156913757324,6.289156913757324,6.114458272575226,6.136295706851593,10400
2009-01-28,6.201808452606201,6.46385686720815,6.048947224517126,6.179971015303627,19490
2009-01-29,6.376506805419922,6.5512054508364574,6.114458420780694,6.332831935808575,14600
2009-01-30,6.485693454742432,6.856928174188405,6.158133187664823,6.179970205591795,103630
2009-02-02,6.485693454742432,6.76957885293726,6.332831830167113,6.76957885293726,24576
2009-02-03,7.00978946685791,7.184488944497672,6.4201812289102556,6.660392177636081,41320
2009-02-04,6.813254356384277,7.359188185693451,6.660392717571925,7.031627888107947,34098
2009-02-05,6.944278240203857,7.053465007606524,6.7914170157488005,6.987953113770709,8178
2009-02-06,6.856929302215576,7.184490039694322,6.769579966594671,6.769579966594671,38064
2009-02-09,7.271838188171387,7.337350078815854,6.813254120631228,6.813254120631228,24126
2009-02-10,7.424699306488037,8.057982815841195,7.271837683572224,7.31551255198086,87666
2009-02-11,7.752259254455566,7.839608987717288,7.097138754079039,7.730422237654532,44522
2009-02-12,7.752259254455566,8.057982487842796,7.577560620960917,7.861446004518321,35064
2009-02-13,7.599397659301758,8.734940029778755,7.337349291802636,8.734940029778755,17236
2009-02-16,7.00978946685791,7.861446504750784,6.769578934646509,7.337349737889193,31964
2009-02-17,7.22816276550293,7.359187369828642,6.856928052637722,6.856928052637722,20574
2009-02-18,7.3810248374938965,7.621236210225707,6.987952666603239,7.29367592897868,35852
2009-02-19,7.250001430511475,7.752260387610002,7.206326557496621,7.577561728579503,35936
2009-02-20,7.00978946685791,7.577561103129442,6.922440561066876,7.577561103129442,5444
2009-02-24,6.616718292236328,7.118977282572345,6.594881270798272,6.987953487886069,5260
2009-02-25,6.922440528869629,7.075302154579016,6.594880259361876,6.944277546958609,6340
2009-02-26,7.22816276550293,7.68674763109969,7.009789257988897,7.206325747963056,34764
2009-02-27,7.053464412689209,7.381024687269472,6.791416442933656,7.381024687269472,5940
2009-03-02,6.987953186035156,8.123495745371656,6.638555443430505,7.206326723098755,88872
2009-03-03,6.791417121887207,7.795935480993569,6.7695796847624985,7.795935480993569,10200
2009-03-04,6.682230472564697,6.944278473215298,6.573043701498328,6.856929139665097,31000
2009-03-05,6.573043346405029,6.966115534403362,6.376507252405863,6.966115534403362,85466
2009-03-06,6.485693454742432,6.900603043071187,6.44201858585965,6.551205341552187,12836
2009-03-09,6.35467004776001,6.5948810231901485,6.289157736362079,6.332832610627366,7954
2009-03-12,6.332831859588623,6.507530502902541,6.2673199724745094,6.2673199724745094,10694
2009-03-13,6.332831859588623,6.68222956273088,6.2673199724745094,6.2673199724745094,10710
2009-03-16,6.551206588745117,6.725905264505855,6.136296921427492,6.136296921427492,127000
2009-03-17,6.463856220245361,6.7259041921046405,6.223645266988532,6.223645266988532,85626
2009-03-18,6.813254356384277,6.878766249295595,6.376507292936938,6.376507292936938,16000
2009-03-19,6.529368877410889,6.966115965084051,6.5075314397243345,6.769579858934024,8200
2009-03-20,6.638555526733398,6.660392964016675,6.179971009842471,6.179971009842471,8600
2009-03-23,6.704067707061768,6.9006038057266395,6.420181860977428,6.769579601111904,71582
2009-03-24,6.616718292236328,6.944278611980987,6.55120639489319,6.813254817294712,10816
2009-03-25,6.529368877410889,6.944278527397497,6.420182105492597,6.616718211642625,22000
2009-03-26,6.529368877410889,6.660393087015733,6.442019543179152,6.551206315097443,16106
2009-03-27,6.485693454742432,6.594880210434968,6.398343716976868,6.398343716976868,28614
2009-03-30,6.551206588745117,6.59488146594255,6.136296921427492,6.136296921427492,7200
2009-03-31,6.5948805809021,6.747741797549971,5.896085138609295,6.376507057249904,39774
2009-04-01,6.616718292236328,6.725905065484548,6.354670286349291,6.354670286349291,8080
2009-04-02,6.856929302215576,7.118977309078291,6.442019645630413,6.442019645630413,24116
2009-04-06,6.987953186035156,7.184489702603969,6.769579648971558,7.162651849080248,17372
